credit_score,dti,num_defaults,annual_income,employment_years,age,loan_amount,label
626,0.434,1,15000,1.5,63,11364,denied
647,0.352,0,114683,8.7,21,1000,approved
697,0.528,0,35084,23.6,60,46226,denied
624,0.702,1,118607,1.7,51,13305,denied
768,0.404,0,94365,6.1,67,11136,denied
706,0.256,0,100955,3.2,72,1000,approved
667,0.241,0,48550,0.8,38,12143,approved
735,0.167,2,52127,4.6,28,26761,denied
581,0.313,0,49068,0.2,18,23319,denied
690,0.364,0,36650,15.8,44,21082,approved
697,0.419,0,49269,14.6,50,12221,denied
707,0.343,0,119877,8.2,70,10586,approved
665,0.197,0,85092,1.0,71,6417,approved
516,0.149,0,19387,3.5,74,1000,denied
682,0.186,1,25030,16.9,64,13945,denied
699,0.285,0,63378,7.9,45,12707,approved
627,0.145,0,101934,10.4,27,12698,denied
802,0.273,2,73006,24.6,20,32396,denied
704,0.338,0,15000,9.4,18,21591,approved
608,0.567,0,76813,1.1,59,14653,denied
612,0.353,0,130677,3.1,38,24318,denied
712,0.266,1,29014,3.8,47,30081,denied
705,0.574,0,90508,19.8,62,24435,denied
850,0.276,0,80113,0.5,53,34382,approved
560,0.243,0,90702,3.0,20,6226,denied
621,0.303,0,50543,2.5,55,3582,denied
625,0.2,0,73061,4.0,61,1462,denied
653,0.538,0,71052,0.8,75,18699,denied
695,0.323,0,69737,0.7,70,27486,approved
624,0.356,1,61788,8.8,60,1000,denied
708,0.165,0,22820,2.3,35,34930,approved
579,0.324,0,92435,11.6,48,14675,denied
735,0.175,0,69920,0.4,56,33670,approved
604,0.308,0,68518,0.4,52,17697,denied
766,0.304,0,88470,5.5,72,2160,approved
602,0.236,0,46658,10.2,41,9793,denied
600,0.382,0,16037,4.3,45,23566,denied
659,0.214,0,63916,0.9,75,20467,approved
566,0.308,0,77924,7.5,37,20162,denied
767,0.497,0,112742,13.9,68,27825,denied
753,0.227,0,66924,1.7,42,2635,approved
586,0.0,0,117985,4.7,70,7159,denied
725,0.045,0,138651,3.4,40,7534,approved
596,0.353,0,86136,7.1,67,2362,denied
676,0.606,1,97433,12.0,49,21688,denied
619,0.53,0,57075,26.6,70,17076,denied
743,0.636,0,40423,3.2,49,1000,denied
653,0.135,1,55934,7.5,45,32186,denied
767,0.298,0,38518,6.9,52,7131,approved
673,0.469,0,15000,2.8,60,17216,denied
822,0.305,1,108273,20.0,62,15061,denied
850,0.428,0,85594,4.1,38,14445,denied
536,0.405,0,87877,1.6,57,6678,denied
687,0.288,1,46478,9.1,26,18697,denied
823,0.189,0,100906,0.2,27,16423,approved
788,0.246,0,79998,15.1,43,19887,approved
681,0.559,3,119691,20.1,62,17740,denied
711,0.554,0,93090,25.9,66,4912,denied
600,0.394,0,89801,2.8,57,8838,denied
734,0.394,0,18626,0.3,69,23765,approved
799,0.264,2,46973,4.8,69,25354,denied
754,0.324,0,109198,0.3,56,10891,approved
697,0.269,0,24408,5.5,35,11924,approved
850,0.314,0,23665,9.1,30,29961,approved
762,0.335,0,57243,2.8,33,12402,approved
689,0.093,0,97210,1.6,64,19597,approved
726,0.244,0,84762,1.3,59,41286,approved
757,0.362,0,106055,7.4,60,13951,approved
678,0.38,0,90443,13.9,49,22646,approved
696,0.346,0,86126,0.8,71,23541,approved
771,0.343,0,85228,7.9,52,27528,approved
772,0.172,0,34570,4.2,23,11655,approved
756,0.383,0,41667,16.8,48,6722,approved
611,0.421,0,75481,7.5,30,18395,denied
714,0.503,0,109356,9.7,25,1000,denied
717,0.305,0,116280,14.7,23,29450,approved
753,0.755,0,66681,2.9,29,11589,denied
596,0.247,0,97864,1.0,27,20784,denied
822,0.223,0,89077,9.9,43,14609,approved
816,0.483,0,25115,2.1,30,19292,denied
699,0.366,0,58016,0.5,59,22787,approved
678,0.29,0,36052,3.3,58,13013,approved
774,0.276,0,54672,13.8,42,14377,approved
769,0.212,0,79138,17.1,64,7620,approved
650,0.29,2,104979,1.7,27,19915,denied
813,0.107,0,87201,8.8,30,25475,approved
682,0.392,0,80097,0.8,20,25998,approved
669,0.256,0,72114,1.0,31,23066,approved
709,0.318,0,90074,0.5,66,1000,approved
659,0.096,0,142596,12.6,50,26150,approved
800,0.275,0,92209,1.9,29,23226,approved
709,0.275,1,92249,1.6,65,12556,denied
844,0.245,0,38178,7.8,58,29124,approved
833,0.367,0,52004,0.0,48,16835,approved
691,0.307,0,94783,33.0,25,17287,approved
776,0.377,0,100521,11.6,61,24554,approved
817,0.123,0,65708,4.1,57,1000,approved
679,0.121,0,124439,10.8,60,23542,approved
703,0.252,2,132309,5.5,33,7625,denied
692,0.0,0,68474,6.5,55,31553,approved
552,0.502,2,98946,0.4,69,33767,denied
574,0.2,2,42835,14.3,38,33590,denied
554,0.331,0,89161,3.3,26,9872,denied
565,0.237,0,92657,1.1,32,22757,denied
680,0.289,0,33559,19.5,30,3794,approved
723,0.498,0,37757,0.8,25,22148,denied
782,0.232,0,65030,10.5,29,17394,approved
582,0.498,0,51258,0.3,46,24867,denied
722,0.256,0,97201,0.2,52,28184,approved
743,0.16,0,68709,0.2,20,17491,approved
850,0.385,0,105725,14.6,25,1000,approved
630,0.128,0,50366,5.1,66,22430,denied
755,0.469,0,103695,1.2,42,30890,denied
627,0.186,1,52260,3.0,32,31258,denied
797,0.161,0,93817,0.2,41,1000,approved
639,0.461,0,104987,0.7,52,1000,denied
662,0.304,0,118756,17.7,47,36457,approved
584,0.341,0,71208,1.9,28,14091,denied
699,0.306,0,80906,2.9,33,13684,approved
816,0.25,0,24608,3.4,31,22650,approved
557,0.333,3,71221,3.3,38,11889,denied
760,0.073,3,89791,3.7,31,6839,denied
470,0.332,0,94742,4.0,66,31942,denied
777,0.365,0,87894,0.6,47,9339,approved
576,0.378,2,107913,7.8,58,1000,denied
528,0.688,1,89550,4.8,43,15155,denied
711,0.242,0,41719,11.1,71,13627,approved
652,0.423,0,96690,1.4,29,5215,denied
762,0.348,0,100061,1.3,30,16951,approved
559,0.305,0,118320,0.6,44,2602,denied
